Energy_eV,Cd,Cl,Te
-8.675000000000008,39.45989217697541,122.51340221692212,148.93170227589053
-8.665000000000006,38.56393132463048,119.07061581255934,144.79834418340533
-8.655000000000008,37.76023458647146,115.90177545458747,140.97997497174572
-8.645000000000007,37.09553548220556,113.16464607799749,137.67264701589363
-8.635000000000009,36.60808330289751,110.98890532138796,135.0399777754984
-8.625000000000007,36.325903238410255,109.47026752481443,133.20581608559039
-8.615000000000009,36.265682926456805,108.66675083341212,132.24941776745914
-8.605000000000008,36.43234138317162,108.59728780202798,132.2033758012015
-8.59500000000001,36.81929137480555,109.24272139813175,133.05436342975125
-8.585000000000008,37.40936408703534,110.54907540991606,134.74657072983172
-8.57500000000001,38.17632692371289,112.43284772914406,137.18755390909698
-8.565000000000008,39.08689191939697,114.78795095708676,140.25607561245238
-8.55500000000001,40.10308363411823,117.49382020174545,143.81139561796283
-8.545000000000009,41.184811756602855,120.42412603220824,147.70337647992758
-8.53500000000001,42.29247593206868,123.45547608652079,151.78270204048076
-8.52500000000001,43.38942047705056,126.47546845853745,155.91047537427764
-8.515000000000011,44.4440573938333,129.38948159885163,159.966476211575
-8.50500000000001,45.43149047091196,132.12565639122985,163.85542623937158
-8.495000000000012,46.334503678706064,134.63765058955863,167.5107413012382
-8.48500000000001,47.14382437720435,136.90492247429478,170.89544359994773
-8.475000000000012,47.8576344149082,138.93052012204117,174.0001564790534
-8.46500000000001,48.48037542288422,140.7365970904936,176.83839023239204
-8.455000000000013,49.020971013927735,142.35811882555507,179.43962027544262
-8.445000000000011,49.4906585660027,143.8354359519178,181.8409221129811
-8.435000000000013,49.90067640662872,145.20654955839376,184.07812188526873
-8.425000000000011,50.26007912441972,146.4999532685622,186.17751241761562
-8.415000000000013,50.57394787470556,147.72889113360574,188.14914958782998
-8.405000000000012,50.8422217867553,148.88771734555303,189.98257646081822
-8.395000000000014,51.05930408491767,149.95079779892643,191.6455371050496
-8.385000000000012,51.21450072933903,150.87408424495237,193.085872003372
-8.375000000000014,51.29324291252811,151.59916021124994,194.23638159192723
-8.365000000000013,51.278942585796706,152.05925020236634,195.02206076153703
-8.355000000000015,51.155247180276426,152.1864437922037,195.36880080753062
-8.345000000000013,50.90840802427549,151.91924812070567,195.21247109375685
-8.335000000000015,50.529464067941156,151.20956441841798,194.50725668795928
-8.325000000000014,50.01596978776144,150.02828614601816,193.23224331109128
-8.315000000000015,49.373058710239306,148.3689193057523,191.39548651190327
-8.305000000000014,48.613721738935645,146.24889573713395,189.03513791093587
-8.295000000000016,47.75827886182918,143.70854537214387,186.21757545974833
-8.285000000000014,46.83311934262052,140.80797002041956,183.0328420151608
-8.275000000000016,45.868866136953464,137.6222821045991,179.58798888693357
-8.265000000000015,44.89817553936822,134.235811788931,175.99911440131916
-8.255000000000017,43.953408271871055,130.73593532354516,172.38296665650694
-8.245000000000015,43.06440375469008,127.2071416986422,168.84894857904052
-8.235000000000017,42.25655993405935,123.72585198869498,165.49224249192326
-8.225000000000016,41.54937454635947,120.35636193881446,162.3885916406233
-8.215000000000018,40.95554903160962,117.14812129125607,159.59107202092
-8.205000000000016,40.48070184396209,114.13441757917514,157.12899070224609
-8.195000000000018,40.12369001305849,111.33241477018869,155.00887947431522
-8.185000000000016,39.877500048679636,108.74441606570291,153.21742667386783
-8.175000000000018,39.73064229032303,106.36017416368095,151.7261058208078
-8.165000000000017,39.66896481599255,104.160053280004,150.49720863861776
-8.155000000000019,39.677790828489066,102.11884349025414,149.49095859545815
